Red Herring				1400			2000		1300				1750			250	6700	1
Red Rose				1375			650									150	2175	1
Red Trillium						650	1175	630	710	935							4100	1
Remains of old				3000					1500						1500	1500	7500	3
Rock Maracas		350			250			250		325	250				175		1600	2
Rocking Horse		200			200	500											900	15
Royal Jelly			1950		3680										2150		7780	1
Rusty Coin		50							290	170	160				75		745	1
Salamander			3700		2550											1150	7400	1
Salamander Tail					450				350				250		300	75	1425	1
Sand Dollar				2500	2500				4250								9250	7
Sand Inspirational		50								150	175	75			250		700	1
Savage Charm			1000	1340	1750				1900							850	6840	1
Scintillating Sand				2500						2500	4250						9250	7
Scorpion										1750			2200		1150	3475	8575	6
Seaside Windchimes		2000							960			1150	1400		1220		6730	5
Seaweed Masque		800		450			650						450	750	750		3850	1
Serpent Charm			1960	1850	2750											1850	8410	1
Shed Skin			2500					2500						4250			9250	7
Shellback Rattle		2500	2250		2850					3100							10700	10
Shell Fragments			550		570					520	710						2350	1
Shooting Star		815					1325						620	590	530		3880	1
Silk Hanky				2100					2700					3150	1780		9730	2
Silver Spoon									2475	1950			3140	1275			8840	1
Simple Crucifix		350		700		400			350							40	1840	2
Simple Snowflake			75						35							10	120	1
Singing Old Log						3000					3000						6000	10
Slim Stickbug						4250		2500			2500						9250	7
Smooth Stone		340			440	350		290		475	250				220		2365	1
Snowball			750						1350	1750					850	1440	6140	1
Spiked Tail						3750		4150								1150	9050	10
Spinning Top		650				850								900	250		2650	2
Spooktacular							2500		1250			1000	1550				6300	1
Spring Beauty		565			735		1450							680	580		4010	1
Square & Compass		1750		1500					2000						2500	1250	9000	8
Squirrel Stash					880		1270					925			730		3805	1
Star Jelly			50		350			75			130		150			25	780	1
Steer Skull			1500					3000									4500	10
Sterling Geode		500						750		1000					1250		3500	4
Strawman		550		250				100	180			350		400			1830	3
Stray Chestnut					350		250	450	200		320		150				1720	1
Stringy Sinew			350		1500		1050	1500						1300			5700	1
Stuffed Leather Ball		1520		800				1400	780					1900	900		7300	4
Stuffed Marchhare		3140						4770								900	8810	1
Stuffed Rabbit			350	550	550		800	1150						650			4050	3
Sunny Sunflower				850	700		1200					1250	1300		550		5850	1
Tar-Soaked Remains										3000					3000		6000	10
Teddybear				1200	2780				1700					2180			7860	2
The Elusive Last Bone		750		750	1250		1250	1250							1500		6750	1
The Golem of Prague		2500	1550	2000					2250		2500					1000	11800	3
The Wicked Wicker Man		2266	1200	2000							1250	2000				1400	10116	1
Thirteen colonies				1525					3150	2245							6920	13
Those Rarefied Thornbush Flowers			3500													3500	7000	5
Tiny Pocketwatch		1500		900					1350	1750						1750	7250	1
Torn Tentacle			2250								1500				1500		5250	7
Traces of the Lost Colony				3000	1500	2000		1500	2500								10500	1
Trout Lily				690	625	675	1125	915									4030	1
Tumbleweed			370	1440	1750							1350			850		5760	1
Turkey Liver					3250				1350				2150				6750	3
Turks Cap					680	975	1150	510				615					3930	1
Twig N' Berries		375			745	315	715				510				490		3150	2
Unscathed Wood			750			2000			1700		1550	900			1250		8150	1
Vial of Gold Flakes		425		600					400	2275	1100				785		5585	1
Vibrant Peat Moss				4250								2500		2500			9250	7
Walking the Beetle									950	1400		450		1450			4250	2
Waxen Candle				400					700		1100				550		2750	5
Wee Menagerie			350	1050	1300			1300							900		4900	3
Weighty Wattle							2000					750	1000		1500	500	5750	1
Whispering Snake Skull			5000													2000	7000	1
Wicker Man		775		850							800	750				75	3250	1
Wild Columbine		660		710	830		1000						935				4135	1
Wild Garlic		200			500						370	350	430		195		2045	1
Wild Oats					1500							1500	750				3750	1
Windborne Kite		1250		1550					1550					1700	550		6600	5
Wood Choppings		150			50	250		75			130						655	1
Wood Knot		1300		1750		2500			1050	1100					800		8500	1
Wooden Boat		200							500		200						900	15
Woven Reeds					140		90		225			280		340			1075	1
